"Plot Title: Win_Ethan_Allen_Park"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 20571737, SEN S/N: 20571737)","Coupler Detached (LGR S/N: 20571737)","Coupler Attached (LGR S/N: 20571737)","Stopped (LGR S/N: 20571737)","End Of File (LGR S/N: 20571737)"
178,04/19/21 11:00:00 PM,8.866,,,,
179,04/20/21 12:00:00 AM,8.841,,,,
180,04/20/21 01:00:00 AM,8.742,,,,
181,04/20/21 02:00:00 AM,8.643,,,,
182,04/20/21 03:00:00 AM,8.668,,,,
183,04/20/21 04:00:00 AM,8.618,,,,
184,04/20/21 05:00:00 AM,8.494,,,,
185,04/20/21 06:00:00 AM,8.419,,,,
186,04/20/21 07:00:00 AM,8.369,,,,
187,04/20/21 08:00:00 AM,8.369,,,,
188,04/20/21 09:00:00 AM,8.394,,,,
189,04/20/21 10:00:00 AM,8.469,,,,
190,04/20/21 11:00:00 AM,8.543,,,,
191,04/20/21 12:00:00 PM,8.568,,,,
192,04/20/21 01:00:00 PM,8.543,,,,
193,04/20/21 02:00:00 PM,8.494,,,,
194,04/20/21 03:00:00 PM,8.394,,,,
195,04/20/21 04:00:00 PM,8.369,,,,
196,04/20/21 05:00:00 PM,8.394,,,,
197,04/20/21 06:00:00 PM,8.444,,,,
198,04/20/21 07:00:00 PM,8.568,,,,
199,04/20/21 08:00:00 PM,8.643,,,,
200,04/20/21 09:00:00 PM,8.618,,,,
201,04/20/21 10:00:00 PM,8.469,,,,
202,04/20/21 11:00:00 PM,8.319,,,,
203,04/21/21 12:00:00 AM,8.170,,,,
204,04/21/21 01:00:00 AM,8.070,,,,
205,04/21/21 02:00:00 AM,8.045,,,,
206,04/21/21 03:00:00 AM,8.020,,,,
207,04/21/21 04:00:00 AM,7.970,,,,
208,04/21/21 05:00:00 AM,7.895,,,,
209,04/21/21 06:00:00 AM,7.795,,,,
210,04/21/21 07:00:00 AM,7.695,,,,
211,04/21/21 08:00:00 AM,7.670,,,,
212,04/21/21 09:00:00 AM,7.645,,,,
213,04/21/21 10:00:00 AM,7.594,,,,
214,04/21/21 11:00:00 AM,7.544,,,,
215,04/21/21 12:00:00 PM,7.469,,,,
216,04/21/21 01:00:00 PM,7.393,,,,
217,04/21/21 02:00:00 PM,7.343,,,,
218,04/21/21 03:00:00 PM,7.268,,,,
219,04/21/21 04:00:00 PM,7.242,,,,
220,04/21/21 05:00:00 PM,7.192,,,,
221,04/21/21 06:00:00 PM,7.091,,,,
222,04/21/21 07:00:00 PM,6.990,,,,
223,04/21/21 08:00:00 PM,6.914,,,,
224,04/21/21 09:00:00 PM,6.788,,,,
225,04/21/21 10:00:00 PM,6.763,,,,
226,04/21/21 11:00:00 PM,6.712,,,,
227,04/22/21 12:00:00 AM,6.661,,,,
228,04/22/21 01:00:00 AM,6.585,,,,
229,04/22/21 02:00:00 AM,6.509,,,,
230,04/22/21 03:00:00 AM,6.382,,,,
231,04/22/21 04:00:00 AM,6.281,,,,
232,04/22/21 05:00:00 AM,6.153,,,,
233,04/22/21 06:00:00 AM,6.026,,,,
234,04/22/21 07:00:00 AM,5.872,,,,
235,04/22/21 08:00:00 AM,5.770,,,,
236,04/22/21 09:00:00 AM,5.642,,,,
237,04/22/21 10:00:00 AM,5.488,,,,
238,04/22/21 11:00:00 AM,5.360,,,,
239,04/22/21 12:00:00 PM,5.282,,,,
240,04/22/21 01:00:00 PM,5.231,,,,
241,04/22/21 02:00:00 PM,5.257,,,,
242,04/22/21 03:00:00 PM,5.308,,,,
243,04/22/21 04:00:00 PM,5.360,,,,
244,04/22/21 05:00:00 PM,5.360,,,,
245,04/22/21 06:00:00 PM,5.360,,,,
246,04/22/21 07:00:00 PM,5.282,,,,
247,04/22/21 08:00:00 PM,5.205,,,,
248,04/22/21 09:00:00 PM,5.128,,,,
249,04/22/21 10:00:00 PM,5.050,,,,
250,04/22/21 11:00:00 PM,4.999,,,,
251,04/23/21 12:00:00 AM,4.921,,,,
252,04/23/21 01:00:00 AM,4.844,,,,
253,04/23/21 02:00:00 AM,4.766,,,,
254,04/23/21 03:00:00 AM,4.688,,,,
255,04/23/21 04:00:00 AM,4.610,,,,
256,04/23/21 05:00:00 AM,4.506,,,,
257,04/23/21 06:00:00 AM,4.428,,,,
258,04/23/21 07:00:00 AM,4.324,,,,
259,04/23/21 08:00:00 AM,4.246,,,,
260,04/23/21 09:00:00 AM,4.168,,,,
261,04/23/21 10:00:00 AM,4.115,,,,
262,04/23/21 11:00:00 AM,4.063,,,,
263,04/23/21 12:00:00 PM,4.063,,,,
264,04/23/21 01:00:00 PM,4.063,,,,
265,04/23/21 02:00:00 PM,4.220,,,,
266,04/23/21 03:00:00 PM,4.428,,,,
267,04/23/21 04:00:00 PM,4.740,,,,
268,04/23/21 05:00:00 PM,4.973,,,,
269,04/23/21 06:00:00 PM,5.205,,,,
270,04/23/21 07:00:00 PM,5.360,,,,
271,04/23/21 08:00:00 PM,5.411,,,,
272,04/23/21 09:00:00 PM,5.462,,,,
273,04/23/21 10:00:00 PM,5.514,,,,
274,04/23/21 11:00:00 PM,5.514,,,,
275,04/24/21 12:00:00 AM,5.514,,,,
276,04/24/21 01:00:00 AM,5.539,,,,
277,04/24/21 02:00:00 AM,5.616,,,,
278,04/24/21 03:00:00 AM,5.642,,,,
279,04/24/21 04:00:00 AM,5.642,,,,
280,04/24/21 05:00:00 AM,5.668,,,,
281,04/24/21 06:00:00 AM,5.668,,,,
282,04/24/21 07:00:00 AM,5.642,,,,
283,04/24/21 08:00:00 AM,5.616,,,,
284,04/24/21 09:00:00 AM,5.616,,,,
285,04/24/21 10:00:00 AM,5.642,,,,
286,04/24/21 11:00:00 AM,5.719,,,,
287,04/24/21 12:00:00 PM,5.924,,,,
288,04/24/21 01:00:00 PM,6.102,,,,
289,04/24/21 02:00:00 PM,6.331,,,,
290,04/24/21 03:00:00 PM,6.661,,,,
291,04/24/21 04:00:00 PM,6.990,,,,
292,04/24/21 05:00:00 PM,7.368,,,,
293,04/24/21 06:00:00 PM,7.695,,,,
294,04/24/21 07:00:00 PM,7.770,,,,
295,04/24/21 08:00:00 PM,7.745,,,,
296,04/24/21 09:00:00 PM,7.720,,,,
297,04/24/21 10:00:00 PM,7.670,,,,
298,04/24/21 11:00:00 PM,7.670,,,,
299,04/25/21 12:00:00 AM,7.695,,,,
300,04/25/21 01:00:00 AM,7.720,,,,
301,04/25/21 02:00:00 AM,7.720,,,,
302,04/25/21 03:00:00 AM,7.645,,,,
303,04/25/21 04:00:00 AM,7.494,,,,
304,04/25/21 05:00:00 AM,7.368,,,,
305,04/25/21 06:00:00 AM,7.318,,,,
306,04/25/21 07:00:00 AM,7.318,,,,
307,04/25/21 08:00:00 AM,7.368,,,,
308,04/25/21 09:00:00 AM,7.469,,,,
309,04/25/21 10:00:00 AM,7.569,,,,
310,04/25/21 11:00:00 AM,7.695,,,,
311,04/25/21 12:00:00 PM,7.845,,,,
312,04/25/21 01:00:00 PM,8.020,,,,
313,04/25/21 02:00:00 PM,8.220,,,,
314,04/25/21 03:00:00 PM,8.419,,,,
315,04/25/21 04:00:00 PM,8.568,,,,
316,04/25/21 05:00:00 PM,8.668,,,,
317,04/25/21 06:00:00 PM,8.717,,,,
318,04/25/21 07:00:00 PM,8.717,,,,
319,04/25/21 08:00:00 PM,8.668,,,,
320,04/25/21 09:00:00 PM,8.643,,,,
321,04/25/21 10:00:00 PM,8.618,,,,
322,04/25/21 11:00:00 PM,8.593,,,,
323,04/26/21 12:00:00 AM,8.593,,,,
324,04/26/21 01:00:00 AM,8.543,,,,
325,04/26/21 02:00:00 AM,8.494,,,,
326,04/26/21 03:00:00 AM,8.419,,,,
327,04/26/21 04:00:00 AM,8.319,,,,
328,04/26/21 05:00:00 AM,8.220,,,,
329,04/26/21 06:00:00 AM,8.095,,,,
330,04/26/21 07:00:00 AM,7.970,,,,
331,04/26/21 08:00:00 AM,7.870,,,,
332,04/26/21 09:00:00 AM,7.770,,,,
333,04/26/21 10:00:00 AM,7.670,,,,
334,04/26/21 11:00:00 AM,7.619,,,,
335,04/26/21 12:00:00 PM,7.569,,,,
336,04/26/21 01:00:00 PM,7.594,,,,
337,04/26/21 02:00:00 PM,7.645,,,,
338,04/26/21 03:00:00 PM,7.770,,,,
339,04/26/21 04:00:00 PM,7.845,,,,
340,04/26/21 05:00:00 PM,7.920,,,,
341,04/26/21 06:00:00 PM,7.945,,,,
342,04/26/21 07:00:00 PM,8.045,,,,
343,04/26/21 08:00:00 PM,8.120,,,,
344,04/26/21 09:00:00 PM,8.145,,,,
345,04/26/21 10:00:00 PM,8.120,,,,
346,04/26/21 11:00:00 PM,8.095,,,,
347,04/27/21 12:00:00 AM,7.995,,,,
348,04/27/21 01:00:00 AM,7.845,,,,
349,04/27/21 02:00:00 AM,7.720,,,,
350,04/27/21 03:00:00 AM,7.594,,,,
351,04/27/21 04:00:00 AM,7.519,,,,
352,04/27/21 05:00:00 AM,7.419,,,,
353,04/27/21 06:00:00 AM,7.293,,,,
354,04/27/21 07:00:00 AM,7.142,,,,
355,04/27/21 08:00:00 AM,6.940,,,,
356,04/27/21 09:00:00 AM,6.788,,,,
357,04/27/21 10:00:00 AM,6.611,,,,
358,04/27/21 11:00:00 AM,6.458,,,,
359,04/27/21 12:00:00 PM,6.408,,,,
360,04/27/21 01:00:00 PM,6.433,,,,
361,04/27/21 02:00:00 PM,6.535,,,,
362,04/27/21 03:00:00 PM,6.737,,,,
363,04/27/21 04:00:00 PM,7.041,,,,
364,04/27/21 05:00:00 PM,7.268,,,,
365,04/27/21 06:00:00 PM,7.469,,,,
366,04/27/21 07:00:00 PM,7.745,,,,
367,04/27/21 08:00:00 PM,7.920,,,,
368,04/27/21 09:00:00 PM,7.995,,,,
369,04/27/21 10:00:00 PM,7.995,,,,
370,04/27/21 11:00:00 PM,7.995,,,,
371,04/28/21 12:00:00 AM,7.995,,,,
372,04/28/21 01:00:00 AM,7.995,,,,
373,04/28/21 02:00:00 AM,7.995,,,,
374,04/28/21 03:00:00 AM,7.995,,,,
375,04/28/21 04:00:00 AM,8.045,,,,
376,04/28/21 05:00:00 AM,8.070,,,,
